date,real value,prediction from price change data,prediction from price and frequency data
2004 JAN,0,,
2004 FEB,0.9,,
2004 MAR,0.7,,
2004 APR,1,,
2004 MAY,1.2,,
2004 JUN,1.1,,
2004 JUL,0.5,,
2004 AUG,0.7,,
2004 SEP,0.7,,
2004 OCT,1.4,,
2004 NOV,1,,
2004 DEC,0.5,,
2005 JAN,0.9,,
2005 FEB,0.1,,
2005 MAR,0.1,,
2005 APR,1.3,,
2005 MAY,2.5,,
2005 JUN,1.8,,
2005 JUL,0.7,,
2005 AUG,0.6,,
2005 SEP,1.3,,
2005 OCT,1.9,,
2005 NOV,1.8,,
2005 DEC,1.4,,
2006 JAN,1.7,,
2006 FEB,0.9,,
2006 MAR,2.2,,
2006 APR,2.3,,
2006 MAY,2.8,,
2006 JUN,0.2,,
2006 JUL,4.8,,
2006 AUG,2,,
2006 SEP,1.6,,
2006 OCT,1.6,,
2006 NOV,0.9,,
2006 DEC,0.7,,
2007 JAN,1.7,,
2007 FEB,1.7,,
2007 MAR,1.4,,
2007 APR,1.4,,
2007 MAY,0.6,,
2007 JUN,1.3,,
2007 JUL,1,,
2007 AUG,0.2,,
2007 SEP,1.4,,
2007 OCT,0.2,,
2007 NOV,0.5,,
2007 DEC,0,,
2008 JAN,1.1,,
2008 FEB,4.7,,
2008 MAR,2.4,,
2008 APR,6.2,,
2008 MAY,2,,
2008 JUN,11,,
2008 JUL,1.9,,
2008 AUG,1.6,,
2008 SEP,1.1,,
2008 OCT,3,,
2008 NOV,4.4,,
2008 DEC,0.1,,
2009 JAN,0.1,,
2009 FEB,2.4,,
2009 MAR,0.9,,
2009 APR,0.2,,
2009 MAY,0.8,,
2009 JUN,1.7,,
2009 JUL,1.4,,
2009 AUG,0.2,,
2009 SEP,1.9,,
2009 OCT,0.3,,
2009 NOV,0.3,,
2009 DEC,0.2,,
2010 JAN,1.6,,
2010 FEB,0.4,,
2010 MAR,0,,
2010 APR,2.7,,
2010 MAY,1.4,,
2010 JUN,0.9,,
2010 JUL,0.6,,
2010 AUG,1.5,,
2010 SEP,0.6,,
2010 OCT,0.5,,
2010 NOV,1.4,,
2010 DEC,0.8,,
2011 JAN,0.6,,
2011 FEB,1.9,,
2011 MAR,0.7,,
2011 APR,0.3,,
2011 MAY,1.4,,
2011 JUN,6.2,,
2011 JUL,0.3,,
2011 AUG,2.4,,
2011 SEP,1.3,,
2011 OCT,0.7,,
2011 NOV,4.8,,
2011 DEC,2.7,,
2012 JAN,2.4,,
2012 FEB,2.2,,
2012 MAR,3.5,,
2012 APR,3.2,,
2012 MAY,5.2,,
2012 JUN,0.4,,
2012 JUL,3.4,,
2012 AUG,2,,
2012 SEP,0.6,,
2012 OCT,1.3,,
2012 NOV,0.5,,
2012 DEC,2.7,,
2013 JAN,2.7,,
2013 FEB,4.3,,
2013 MAR,2.5,0.736298663,2.712359865
2013 APR,3.8,5.09833289,4.138588321
2013 MAY,0.7,0.169824163,8.195995608
2013 JUN,4.2,3.634303852,5.498543194
2013 JUL,4.2,-1.297166197,6.926358875
2013 AUG,2.2,1.620742204,2.531911835
2013 SEP,5.9,4.716854662,2.23699096
2013 OCT,1.6,-1.362161485,-8.077546936
2013 NOV,1.7,3.876954223,-9.963415472
2013 DEC,1.2,5.154373557,-9.019309149
2014 JAN,0.7,0.703978808,3.294150275
2014 FEB,0.1,0.425479723,5.535673878
2014 MAR,2.1,3.028625484,9.213753893
2014 APR,3.6,1.108630861,9.965561723
2014 MAY,1.7,-0.177882239,10.09079563
2014 JUN,1.1,3.493301635,8.466002991
2014 JUL,0.6,0.62442457,4.932290793
2014 AUG,3.1,0.944497394,0.609758787
2014 SEP,0.9,2.250340305,1.167368217
2014 OCT,1.2,0.756383212,-0.591114816
2014 NOV,1.2,0.929165384,-11.17620777
2014 DEC,0.3,-0.089677306,-8.828129085
2015 JAN,3.2,0.435126007,0.437979436
2015 FEB,1,2.830823112,3.561052762
2015 MAR,3.4,1.20458276,9.29410926
2015 APR,1,-1.21854445,11.08800166
2015 MAY,1.1,0.832200526,8.680932388
2015 JUN,0.2,-0.843971018,8.562892739
2015 JUL,1.7,0.830164323,1.256374349
2015 AUG,2.2,2.17600174,2.981274224
2015 SEP,4.3,0.715945432,2.00471088
2015 OCT,0.1,-0.38854737,-2.231713592
2015 NOV,1,5.418504348,-9.007070979
2015 DEC,2.9,1.237069673,-8.855597107
2016 JAN,0.2,4.960575777,-1.388062278
2016 FEB,2.7,2.459730726,8.922468833
2016 MAR,6.7,0.929496337,11.51556088
2016 APR,0.6,0.103539291,11.6212335
2016 MAY,1.9,14.87536686,5.699394593
2016 JUN,1.9,4.731969665,2.086023689
2016 JUL,5.6,6.578161927,-1.886020495
2016 AUG,2.2,3.012169711,2.443873843
2016 SEP,1.8,3.377513312,3.291065759
2016 OCT,4,0.887205121,-3.01730208
2016 NOV,1,-3.7863959,-7.700084974
