time,price
2006 DEC,162
2007 JAN,159
2007 FEB,166.1
2007 MAR,167.8
2007 APR,166.5
2007 MAY,170.5
2007 JUN,172.1
2007 JUL,162.7
2007 AUG,163.3
2007 SEP,162.5
2007 OCT,162.5
2007 NOV,166.5
2007 DEC,167.4
2008 JAN,168.7
2008 FEB,172.9
2008 MAR,171.1
2008 APR,175
2008 MAY,176.5
2008 JUN,188.9
2008 JUL,189.6
2008 AUG,192.5
2008 SEP,191.7
2008 OCT,186.1
2008 NOV,191.7
2008 DEC,193
2009 JAN,189.5
2009 FEB,194.4
2009 MAR,193.6
2009 APR,191.9
2009 MAY,197.9
2009 JUN,198.8
2009 JUL,195.5
2009 AUG,190.1
2009 SEP,189
2009 OCT,188.5
2009 NOV,186.6
2009 DEC,188.6
2010 JAN,188.7
2010 FEB,190.3
2010 MAR,188.6
2010 APR,191.1
2010 MAY,194.8
2010 JUN,198.4
2010 JUL,201
2010 AUG,199
2010 SEP,198.3
2010 OCT,195.6
2010 NOV,200
2010 DEC,201
2011 JAN,203.2
2011 FEB,204
2011 MAR,204.8
2011 APR,206
2011 MAY,211.3
2011 JUN,213
2011 JUL,212
2011 AUG,209.5
2011 SEP,209.8
2011 OCT,202.2
2011 NOV,199.4
2011 DEC,203.3
2012 JAN,203
2012 FEB,209.9
2012 MAR,211.9
2012 APR,205.5
2012 MAY,208.8
2012 JUN,212.9
2012 JUL,211.2
2012 AUG,214.1
2012 SEP,215.6
2012 OCT,221.7
2012 NOV,227.7
2012 DEC,232.2
2013 JAN,240.7
2013 FEB,249.3
2013 MAR,246
2013 APR,246.6
2013 MAY,248.2
2013 JUN,248.7
2013 JUL,255.9
2013 AUG,252.9
2013 SEP,251.7
2013 OCT,249.5
2013 NOV,249.8
2013 DEC,246.6
2014 JAN,247.9
2014 FEB,245.8
2014 MAR,244.8
2014 APR,242.6
2014 MAY,235.8
2014 JUN,238.8
2014 JUL,240.6
2014 AUG,239
2014 SEP,235.6
2014 OCT,234.1
2014 NOV,230.6
2014 DEC,233.8
2015 JAN,234.7
2015 FEB,227.6
2015 MAR,224.8
2015 APR,224.1
2015 MAY,223.7
2015 JUN,230.1
2015 JUL,226.4
2015 AUG,222.6
2015 SEP,226.3
2015 OCT,224.5
2015 NOV,227
2015 DEC,217.2
2016 JAN,222.3
2016 FEB,230.8
2016 MAR,221.7
2016 APR,223.9
2016 MAY,216.3
2016 JUN,217.9
2016 JUL,221.9
2016 AUG,216.6
2016 SEP,221.8
2016 OCT,217.8
